Element type                                            Size  Used MEM
module.layer2.1.conv3.weight                (512, 128, 1, 1)   256.00K
module.layer2.1.bn3.weight                            (512,)     2.00K
module.layer2.1.bn3.bias                              (512,)     2.00K
module.layer2.2.conv1.weight                (128, 512, 1, 1)   256.00K
module.layer2.2.bn1.weight                            (128,)   512.00B
module.layer2.2.bn1.bias                              (128,)   512.00B
module.layer2.2.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.2.bn2.weight                            (128,)   512.00B
module.layer2.2.bn2.bias                              (128,)   512.00B
module.layer2.2.conv3.weight                (512, 128, 1, 1)   256.00K
module.layer2.2.bn3.weight                            (512,)     2.00K
module.layer2.2.bn3.bias                              (512,)     2.00K
module.layer2.3.conv1.weight                (128, 512, 1, 1)   256.00K
module.layer2.3.bn1.weight                            (128,)   512.00B
module.layer2.3.bn1.bias                              (128,)   512.00B
module.layer2.3.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.3.bn2.weight                            (128,)   512.00B
module.layer2.3.bn2.bias                              (128,)   512.00B
module.layer2.3.conv3.weight                (512, 128, 1, 1)   256.00K
module.layer2.3.bn3.weight                            (512,)     2.00K
module.layer2.3.bn3.bias                              (512,)     2.00K
module.layer1.0.downsample.0.weight          (256, 64, 1, 1)    64.00K
module.layer1.0.downsample.1.weight                   (256,)     1.00K
module.layer1.0.downsample.1.bias                     (256,)     1.00K
module.layer2.0.downsample.0.weight         (512, 256, 1, 1)   512.00K
module.layer2.0.downsample.1.weight                   (512,)     2.00K
module.layer2.0.downsample.1.bias                     (512,)     2.00K
-------------------------------------------------------------------------------
Total Tensors: 50946064 	Used Memory: 194.40M
The allocated memory on cuda:0: 194.65M
Memory differs due to the matrix alignment or invisible gradient buffer tensors
-------------------------------------------------------------------------------
Parameters: 44549160
